iso_code,date,total_cases,new_cases,total_deaths,new_deaths
ESP,2020-02-01,1.0,1.0,,
ESP,2020-02-02,1.0,0.0,,
ESP,2020-02-03,1.0,0.0,,
ESP,2020-02-04,1.0,0.0,,
ESP,2020-02-05,1.0,0.0,,
ESP,2020-02-06,1.0,0.0,,
ESP,2020-02-07,1.0,0.0,,
ESP,2020-02-08,1.0,0.0,,
ESP,2020-02-09,2.0,1.0,,
ESP,2020-02-10,2.0,0.0,,
ESP,2020-02-11,2.0,0.0,,
ESP,2020-02-12,2.0,0.0,,
ESP,2020-02-13,2.0,0.0,,
ESP,2020-02-14,2.0,0.0,,
ESP,2020-02-15,2.0,0.0,,
ESP,2020-02-16,2.0,0.0,,
ESP,2020-02-17,2.0,0.0,,
ESP,2020-02-18,2.0,0.0,,
ESP,2020-02-19,2.0,0.0,,
ESP,2020-02-20,2.0,0.0,,
ESP,2020-02-21,2.0,0.0,,
ESP,2020-02-22,2.0,0.0,,
ESP,2020-02-23,2.0,0.0,,
ESP,2020-02-24,2.0,0.0,,
ESP,2020-02-25,6.0,4.0,,
ESP,2020-02-26,13.0,7.0,,
ESP,2020-02-27,15.0,2.0,,
ESP,2020-02-28,32.0,17.0,,
ESP,2020-02-29,45.0,13.0,,
ESP,2020-03-01,84.0,39.0,,
ESP,2020-03-02,120.0,36.0,,
ESP,2020-03-03,165.0,45.0,1.0,1.0
ESP,2020-03-04,222.0,57.0,2.0,1.0
ESP,2020-03-05,259.0,37.0,3.0,1.0
ESP,2020-03-06,400.0,141.0,5.0,2.0
ESP,2020-03-07,500.0,100.0,10.0,5.0
ESP,2020-03-08,673.0,173.0,17.0,7.0
ESP,2020-03-09,1073.0,400.0,28.0,11.0
ESP,2020-03-10,1695.0,622.0,35.0,7.0
ESP,2020-03-11,2277.0,582.0,54.0,19.0
ESP,2020-03-12,2277.0,0.0,55.0,1.0
ESP,2020-03-13,5232.0,2955.0,133.0,78.0
ESP,2020-03-14,6391.0,1159.0,195.0,62.0
ESP,2020-03-15,7798.0,1407.0,289.0,94.0
ESP,2020-03-16,9942.0,2144.0,342.0,53.0
ESP,2020-03-17,11748.0,1806.0,533.0,191.0
ESP,2020-03-18,13910.0,2162.0,623.0,90.0
ESP,2020-03-19,17963.0,4053.0,830.0,207.0
ESP,2020-03-20,20410.0,2447.0,1043.0,213.0
ESP,2020-03-21,25374.0,4964.0,1375.0,332.0
ESP,2020-03-22,28768.0,3394.0,1772.0,397.0
ESP,2020-03-23,35136.0,6368.0,2311.0,539.0
ESP,2020-03-24,39885.0,4749.0,2808.0,497.0
ESP,2020-03-25,49515.0,9630.0,3647.0,839.0
ESP,2020-03-26,57786.0,8271.0,4365.0,718.0
ESP,2020-03-27,65719.0,7933.0,5138.0,773.0
ESP,2020-03-28,73235.0,7516.0,5982.0,844.0
ESP,2020-03-29,80110.0,6875.0,6803.0,821.0
ESP,2020-03-30,87956.0,7846.0,7716.0,913.0
ESP,2020-03-31,95923.0,7967.0,8464.0,748.0
ESP,2020-04-01,104118.0,8195.0,9387.0,923.0
ESP,2020-04-02,112065.0,7947.0,10348.0,961.0
ESP,2020-04-03,119199.0,7134.0,11198.0,850.0
ESP,2020-04-04,126168.0,6969.0,11947.0,749.0
ESP,2020-04-05,131646.0,5478.0,12641.0,694.0
ESP,2020-04-06,136675.0,5029.0,13341.0,700.0
ESP,2020-04-07,141942.0,5267.0,14045.0,704.0
ESP,2020-04-08,148220.0,6278.0,14792.0,747.0
ESP,2020-04-09,153222.0,5002.0,15447.0,655.0
ESP,2020-04-10,158273.0,5051.0,16081.0,634.0
ESP,2020-04-11,163027.0,4754.0,16606.0,525.0
ESP,2020-04-12,166831.0,3804.0,17209.0,603.0
ESP,2020-04-13,170099.0,3268.0,17756.0,547.0
ESP,2020-04-14,172541.0,2442.0,18056.0,300.0
ESP,2020-04-15,177644.0,5103.0,18708.0,652.0
ESP,2020-04-16,184948.0,7304.0,19315.0,607.0
ESP,2020-04-17,190839.0,5891.0,20002.0,687.0
ESP,2020-04-18,191726.0,887.0,20043.0,41.0
ESP,2020-04-19,198674.0,6948.0,20453.0,410.0
ESP,2020-04-20,200210.0,1536.0,20852.0,399.0
ESP,2020-04-21,204178.0,3968.0,21282.0,430.0
ESP,2020-04-22,208389.0,4211.0,21717.0,435.0
ESP,2020-04-23,213024.0,4635.0,22157.0,440.0
ESP,2020-04-24,202990.0,-10034.0,22524.0,367.0
ESP,2020-04-25,205905.0,2915.0,22902.0,378.0
ESP,2020-04-26,207634.0,1729.0,23190.0,288.0
ESP,2020-04-27,209465.0,1831.0,23521.0,331.0
ESP,2020-04-28,210773.0,1308.0,23822.0,301.0
ESP,2020-04-29,212917.0,2144.0,24275.0,453.0
ESP,2020-04-30,213435.0,518.0,24543.0,268.0
ESP,2020-05-01,215216.0,1781.0,24543.0,0.0
ESP,2020-05-02,216582.0,1366.0,25100.0,557.0
ESP,2020-05-03,217466.0,884.0,25264.0,164.0
ESP,2020-05-04,218011.0,545.0,25428.0,164.0
ESP,2020-05-05,219329.0,1318.0,25613.0,185.0
ESP,2020-05-06,220325.0,996.0,25857.0,244.0
ESP,2020-05-07,221447.0,1122.0,26070.0,213.0
ESP,2020-05-08,222857.0,1410.0,26299.0,229.0
ESP,2020-05-09,223578.0,721.0,26478.0,179.0
ESP,2020-05-10,224350.0,772.0,26621.0,143.0
ESP,2020-05-11,227436.0,3086.0,26744.0,123.0
ESP,2020-05-12,228030.0,594.0,26920.0,176.0
ESP,2020-05-13,228691.0,661.0,27104.0,184.0
ESP,2020-05-14,229540.0,849.0,27321.0,217.0
ESP,2020-05-15,230183.0,643.0,27459.0,138.0
ESP,2020-05-16,230698.0,515.0,27563.0,104.0
