ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2020-03-01,CHE,GADM,CHE.10_1,Graub-nden,-0.02993,0.24356,full_february,DAY_OF_WEEK
2020-03-02,CHE,GADM,CHE.10_1,Graub-nden,-0.05976,0.19443,full_february,DAY_OF_WEEK
2020-03-03,CHE,GADM,CHE.10_1,Graub-nden,-0.02703,0.18838,full_february,DAY_OF_WEEK
2020-03-04,CHE,GADM,CHE.10_1,Graub-nden,0.00252,0.17778,full_february,DAY_OF_WEEK
2020-03-05,CHE,GADM,CHE.10_1,Graub-nden,-0.0851,0.19165,full_february,DAY_OF_WEEK
2020-03-06,CHE,GADM,CHE.10_1,Graub-nden,-0.06848,0.17378,full_february,DAY_OF_WEEK
2020-03-07,CHE,GADM,CHE.10_1,Graub-nden,-0.08886,0.20306,full_february,DAY_OF_WEEK
2020-03-08,CHE,GADM,CHE.10_1,Graub-nden,0.09645,0.23119,full_february,DAY_OF_WEEK
2020-03-09,CHE,GADM,CHE.10_1,Graub-nden,-0.05977,0.18804,full_february,DAY_OF_WEEK
2020-03-10,CHE,GADM,CHE.10_1,Graub-nden,-0.11008,0.21778,full_february,DAY_OF_WEEK
2020-03-11,CHE,GADM,CHE.10_1,Graub-nden,-0.02132,0.17539,full_february,DAY_OF_WEEK
2020-03-12,CHE,GADM,CHE.10_1,Graub-nden,-0.02983,0.18259,full_february,DAY_OF_WEEK
2020-03-13,CHE,GADM,CHE.10_1,Graub-nden,-0.09034,0.18731,full_february,DAY_OF_WEEK
2020-03-14,CHE,GADM,CHE.10_1,Graub-nden,-0.20614,0.24265,full_february,DAY_OF_WEEK
2020-03-15,CHE,GADM,CHE.10_1,Graub-nden,-0.17376,0.3129,full_february,DAY_OF_WEEK
2020-03-16,CHE,GADM,CHE.10_1,Graub-nden,-0.11262,0.2182,full_february,DAY_OF_WEEK
2020-03-17,CHE,GADM,CHE.10_1,Graub-nden,-0.14547,0.24208,full_february,DAY_OF_WEEK
2020-03-18,CHE,GADM,CHE.10_1,Graub-nden,-0.16748,0.25252,full_february,DAY_OF_WEEK
2020-03-19,CHE,GADM,CHE.10_1,Graub-nden,-0.24312,0.27564,full_february,DAY_OF_WEEK
2020-03-20,CHE,GADM,CHE.10_1,Graub-nden,-0.26282,0.27969,full_february,DAY_OF_WEEK
2020-03-21,CHE,GADM,CHE.10_1,Graub-nden,-0.4126,0.36431,full_february,DAY_OF_WEEK
2020-03-22,CHE,GADM,CHE.10_1,Graub-nden,-0.53814,0.52089,full_february,DAY_OF_WEEK
2020-03-23,CHE,GADM,CHE.10_1,Graub-nden,-0.29348,0.30841,full_february,DAY_OF_WEEK
2020-03-24,CHE,GADM,CHE.10_1,Graub-nden,-0.27124,0.31134,full_february,DAY_OF_WEEK
2020-03-25,CHE,GADM,CHE.10_1,Graub-nden,-0.30365,0.32895,full_february,DAY_OF_WEEK
2020-03-26,CHE,GADM,CHE.10_1,Graub-nden,-0.30691,0.32665,full_february,DAY_OF_WEEK
2020-03-27,CHE,GADM,CHE.10_1,Graub-nden,-0.32741,0.31434,full_february,DAY_OF_WEEK
2020-03-28,CHE,GADM,CHE.10_1,Graub-nden,-0.37608,0.3429,full_february,DAY_OF_WEEK
2020-03-29,CHE,GADM,CHE.10_1,Graub-nden,-0.49514,0.4814,full_february,DAY_OF_WEEK
2020-03-30,CHE,GADM,CHE.10_1,Graub-nden,-0.36855,0.35278,full_february,DAY_OF_WEEK
2020-03-31,CHE,GADM,CHE.10_1,Graub-nden,-0.27097,0.29893,full_february,DAY_OF_WEEK
2020-04-01,CHE,GADM,CHE.10_1,Graub-nden,-0.23697,0.28714,full_february,DAY_OF_WEEK
2020-04-02,CHE,GADM,CHE.10_1,Graub-nden,-0.27963,0.29341,full_february,DAY_OF_WEEK
2020-04-03,CHE,GADM,CHE.10_1,Graub-nden,-0.26095,0.28111,full_february,DAY_OF_WEEK
2020-04-04,CHE,GADM,CHE.10_1,Graub-nden,-0.32691,0.31055,full_february,DAY_OF_WEEK
2020-04-05,CHE,GADM,CHE.10_1,Graub-nden,-0.334,0.40127,full_february,DAY_OF_WEEK
2020-04-06,CHE,GADM,CHE.10_1,Graub-nden,-0.22871,0.2848,full_february,DAY_OF_WEEK
2020-04-07,CHE,GADM,CHE.10_1,Graub-nden,-0.1754,0.26805,full_february,DAY_OF_WEEK
2020-04-08,CHE,GADM,CHE.10_1,Graub-nden,-0.17087,0.25934,full_february,DAY_OF_WEEK
2020-04-09,CHE,GADM,CHE.10_1,Graub-nden,-0.16069,0.25565,full_february,DAY_OF_WEEK
2020-04-10,CHE,GADM,CHE.10_1,Graub-nden,-0.40165,0.38624,full_february,DAY_OF_WEEK
2020-04-11,CHE,GADM,CHE.10_1,Graub-nden,-0.26273,0.27664,full_february,DAY_OF_WEEK
2020-04-12,CHE,GADM,CHE.10_1,Graub-nden,-0.3536,0.38873,full_february,DAY_OF_WEEK
2020-04-13,CHE,GADM,CHE.10_1,Graub-nden,-0.35916,0.3645,full_february,DAY_OF_WEEK
2020-04-14,CHE,GADM,CHE.10_1,Graub-nden,-0.21626,0.27153,full_february,DAY_OF_WEEK
2020-04-15,CHE,GADM,CHE.10_1,Graub-nden,-0.15246,0.26159,full_february,DAY_OF_WEEK
2020-04-16,CHE,GADM,CHE.10_1,Graub-nden,-0.19574,0.27392,full_february,DAY_OF_WEEK
2020-04-17,CHE,GADM,CHE.10_1,Graub-nden,-0.17972,0.24253,full_february,DAY_OF_WEEK
2020-04-18,CHE,GADM,CHE.10_1,Graub-nden,-0.25566,0.28986,full_february,DAY_OF_WEEK
2020-04-19,CHE,GADM,CHE.10_1,Graub-nden,-0.291,0.38141,full_february,DAY_OF_WEEK
2020-04-20,CHE,GADM,CHE.10_1,Graub-nden,-0.21033,0.27692,full_february,DAY_OF_WEEK
2020-04-21,CHE,GADM,CHE.10_1,Graub-nden,-0.15681,0.26807,full_february,DAY_OF_WEEK
2020-04-22,CHE,GADM,CHE.10_1,Graub-nden,-0.09687,0.24861,full_february,DAY_OF_WEEK
2020-04-23,CHE,GADM,CHE.10_1,Graub-nden,-0.116,0.24089,full_february,DAY_OF_WEEK
2020-04-24,CHE,GADM,CHE.10_1,Graub-nden,-0.14418,0.23447,full_february,DAY_OF_WEEK
2020-04-25,CHE,GADM,CHE.10_1,Graub-nden,-0.26675,0.29776,full_february,DAY_OF_WEEK
2020-04-26,CHE,GADM,CHE.10_1,Graub-nden,-0.29242,0.37882,full_february,DAY_OF_WEEK
2020-04-27,CHE,GADM,CHE.10_1,Graub-nden,-0.13026,0.22978,full_february,DAY_OF_WEEK
2020-04-28,CHE,GADM,CHE.10_1,Graub-nden,-0.14067,0.24433,full_february,DAY_OF_WEEK
2020-04-29,CHE,GADM,CHE.10_1,Graub-nden,-0.15704,0.26056,full_february,DAY_OF_WEEK
2020-04-30,CHE,GADM,CHE.10_1,Graub-nden,-0.17141,0.26559,full_february,DAY_OF_WEEK
2020-05-01,CHE,GADM,CHE.10_1,Graub-nden,-0.18643,0.24363,full_february,DAY_OF_WEEK
2020-05-02,CHE,GADM,CHE.10_1,Graub-nden,-0.25432,0.27636,full_february,DAY_OF_WEEK
2020-05-03,CHE,GADM,CHE.10_1,Graub-nden,-0.19765,0.34188,full_february,DAY_OF_WEEK
2020-05-04,CHE,GADM,CHE.10_1,Graub-nden,-0.06107,0.22126,full_february,DAY_OF_WEEK
2020-05-05,CHE,GADM,CHE.10_1,Graub-nden,-0.1396,0.26529,full_february,DAY_OF_WEEK
2020-05-06,CHE,GADM,CHE.10_1,Graub-nden,-0.06608,0.23936,full_february,DAY_OF_WEEK
2020-05-07,CHE,GADM,CHE.10_1,Graub-nden,-0.01995,0.21203,full_february,DAY_OF_WEEK
2020-05-08,CHE,GADM,CHE.10_1,Graub-nden,-0.02843,0.19751,full_february,DAY_OF_WEEK
2020-05-09,CHE,GADM,CHE.10_1,Graub-nden,-0.07298,0.22434,full_february,DAY_OF_WEEK
2020-05-10,CHE,GADM,CHE.10_1,Graub-nden,-0.20046,0.33873,full_february,DAY_OF_WEEK
